name,link,opening,closing,coords,lat,lng
0,market 0,,11:30,21:30,,48.244688657634505,16.35074731644953
1,market 1,,12:30,21:00,,48.20202132809269,16.31961757561918
2,market 2,,11:30,22:00,,48.20331492201658,16.28767326502183
3,market 3,,11:30,19:30,,48.26388719029882,16.400014897467003
4,market 4,,13:30,20:30,,48.153658709562166,16.344544277761415
5,market 5,,12:30,18:00,,48.173466112356756,16.348326666922816
6,market 6,,11:30,19:30,,48.190756009540934,16.446636059345956
7,market 7,,09:00,22:30,,48.214717579465855,16.394225055342957
8,market 8,,09:30,21:30,,48.20789142743547,16.378541250064053
9,market 9,,12:30,20:30,,48.19565564038051,16.367103090259363
10,market 10,,13:30,19:30,,48.20691867989522,16.435999743038288
11,market 11,,11:30,21:30,,48.20463473618544,16.445979465370808
12,market 12,,09:30,22:30,,48.17401978057241,16.406475255573977
13,market 13,,09:30,19:00,,48.169350350572294,16.389111229569895
14,market 14,,11:30,18:30,,48.2237258178862,16.255269846439692
15,market 15,,10:30,21:00,,48.16545424585023,16.366186095711676
16,market 16,,11:30,20:00,,48.152132237040455,16.353494652290316
17,market 17,,09:30,21:30,,48.19438538744372,16.36469766146928
18,market 18,,12:30,21:30,,48.20211664919181,16.407152304366125
19,market 19,,13:30,21:30,,48.32283617486491,16.22301614164052
20,market 20,,10:30,18:00,,48.17476498620719,16.33153439732649
21,market 21,,12:00,20:00,,48.25716303624848,16.37349521774704
22,market 22,,12:30,19:30,,48.24735941671023,16.33665772269736
23,market 23,,10:00,20:00,,48.15055275223981,16.289154694343686
24,market 24,,10:30,22:30,,48.24866264887013,16.403448174344838
25,market 25,,11:30,21:30,,48.15080596799034,16.373843595292307
26,market 26,,13:00,19:30,,48.07704138810016,16.311444771477774
27,market 27,,10:00,18:00,,48.24031597621797,16.37574086022579
28,market 28,,12:30,20:30,,48.12220547082811,16.40107928560249
29,market 29,,11:00,18:30,,48.232546723090294,16.36026463231497
30,market 30,,09:00,21:00,,48.17579945511314,16.40002824017155
31,market 31,,12:00,22:30,,48.29297753980949,16.363913008758082
32,market 32,,09:30,19:30,,48.2634254699658,16.34023855086728
33,market 33,,13:00,21:30,,48.18733070980743,16.302028974180004
34,market 34,,13:00,22:30,,48.17560811944857,16.35570346165142
35,market 35,,13:30,18:30,,48.1492961298453,16.36971464690229
36,market 36,,13:30,21:30,,48.18795386838537,16.403791638079365
37,market 37,,12:00,21:30,,48.195982225240776,16.35424462657564
38,market 38,,10:00,18:30,,48.19176532278042,16.38287078031105
39,market 39,,10:00,19:30,,48.217835192763616,16.311769399313313
40,market 40,,10:30,21:30,,48.23892607488644,16.320868542208622
41,market 41,,09:30,19:00,,48.22748272284966,16.354480535048655
42,market 42,,11:30,21:00,,48.17179280380468,16.307268576800748
43,market 43,,11:00,18:30,,48.13811042630992,16.401012391866235
44,market 44,,11:30,20:30,,48.278226592405126,16.38315651646593
45,market 45,,10:30,21:00,,48.17552754077251,16.37395478821962
46,market 46,,09:30,18:00,,48.17738532000325,16.376945206260796
47,market 47,,10:00,20:00,,48.183940534384945,16.46105217807424
48,market 48,,11:00,22:30,,48.117846522492165,16.33655679060166
49,market 49,,13:00,18:30,,48.186101299797976,16.249927935724973
50,market 50,,12:30,18:30,,48.18601720929961,16.369965009844822
51,market 51,,12:30,21:00,,48.24101791491718,16.357469822951916
52,market 52,,10:30,20:00,,48.244922857455364,16.33412404787448
53,market 53,,11:30,22:00,,48.21018854445431,16.31105850703206
54,market 54,,10:30,19:00,,48.256592418705715,16.338040523909893
55,market 55,,11:30,19:00,,48.22699824919006,16.36906692146089
56,market 56,,12:30,22:00,,48.20921589441987,16.334859164967874
57,market 57,,13:30,19:00,,48.218046408414914,16.480622683977188
58,market 58,,13:30,20:30,,48.20046732532093,16.31197478091834
59,market 59,,13:30,18:30,,48.19025752429833,16.320344131864616
60,market 60,,12:30,21:00,,48.196613323155304,16.24556899799927
61,market 61,,13:30,22:30,,48.1535994334265,16.372574220751076
62,market 62,,11:30,21:30,,48.224022085265815,16.259179668610013
63,market 63,,09:30,19:30,,48.16034381945352,16.333027268331275
64,market 64,,12:30,21:30,,48.25208156320368,16.346216473271973
65,market 65,,12:30,22:30,,48.19752707099195,16.324513601707654
66,market 66,,09:30,22:30,,48.2124747490825,16.446943633872724
67,market 67,,11:30,19:30,,48.23469183881405,16.409719719565775
68,market 68,,11:30,21:30,,48.242165723253144,16.42595684381508
69,market 69,,12:30,20:30,,48.13146882956833,16.315879059072504
70,market 70,,13:30,21:00,,48.1996548161918,16.416429703225727
71,market 71,,11:30,20:00,,48.25400894560404,16.3848000473172
72,market 72,,13:30,19:00,,48.12509470902839,16.398570297433842
73,market 73,,09:30,20:30,,48.229364023769755,16.41147194143914
74,market 74,,12:30,20:30,,48.09722178852989,16.314561837702048
75,market 75,,09:30,19:00,,48.158874657818224,16.338784118951104
76,market 76,,09:30,20:30,,48.21193152759201,16.403129800566422
77,market 77,,09:30,20:30,,48.1271642448839,16.22721904535125
78,market 78,,13:30,21:00,,48.16072446311579,16.43566640412866
79,market 79,,11:00,21:30,,48.13640824962682,16.387656603210377
80,market 80,,12:30,22:30,,48.29240674661038,16.35771480196699
81,market 81,,12:30,20:30,,48.21821138777437,16.37102538278786
82,market 82,,13:30,18:30,,48.238364513892634,16.30850323583455
83,market 83,,09:30,19:30,,48.19886624497424,16.342502831770545
84,market 84,,12:00,18:30,,48.19232841256214,16.41501421691102
85,market 85,,11:00,19:30,,48.12917629056745,16.42490109861631
86,market 86,,09:00,19:30,,48.19540813186261,16.494811202628178
87,market 87,,12:00,21:00,,48.17192538940942,16.35630376668598
88,market 88,,10:30,19:30,,48.25289619621462,16.327072351659748
89,market 89,,12:00,20:30,,48.26705509333288,16.334288301703
90,market 90,,09:30,18:30,,48.28332893577871,16.309097906235632
91,market 91,,11:00,18:30,,48.25262759697306,16.356107262202958
92,market 92,,13:30,18:30,,48.18006730315385,16.379136621500614
93,market 93,,11:30,18:00,,48.15420515070198,16.3582878859734
94,market 94,,12:30,19:30,,48.24833315908226,16.41481734228329
95,market 95,,10:00,22:30,,48.22781464087362,16.348289209932773
96,market 96,,09:30,21:30,,48.12157307746615,16.34262746737507
97,market 97,,12:30,22:30,,48.22777408963719,16.330936576156983
98,market 98,,10:30,21:30,,48.25072599112439,16.278368273688276
99,market 99,,09:30,22:00,,48.21294627945908,16.281611613784577
