name,link,opening,closing,coords,lat,lng
0,market 0,,11:30,22:30,,48.16934268589778,16.383283121986523
1,market 1,,12:30,20:00,,48.12368586988342,16.283187815686137
2,market 2,,11:30,20:30,,48.218871307112686,16.43441260968978
3,market 3,,11:30,22:00,,48.18991095318959,16.45479445880153
4,market 4,,13:30,22:30,,48.1284900826517,16.418938978557982
5,market 5,,12:30,21:30,,48.23313911277629,16.35100375820938
6,market 6,,11:30,19:00,,48.16463508178084,16.30646236892447
7,market 7,,09:00,22:00,,48.21259726978981,16.412722586346558
8,market 8,,09:30,20:30,,48.24645452810888,16.339841152651342
9,market 9,,12:30,21:00,,48.21644914553787,16.421122253519123
10,market 10,,13:30,23:00,,48.266970034227164,16.370413748903843
11,market 11,,11:30,20:00,,48.14825870898232,16.408831951824187
12,market 12,,09:30,23:30,,48.230117082058875,16.37781831985872
13,market 13,,09:30,19:00,,48.175759495452986,16.395328658409596
14,market 14,,11:30,19:00,,48.166460142540906,16.36052500103604
15,market 15,,10:30,19:30,,48.18105751676178,16.449293524695292
16,market 16,,11:30,19:30,,48.194422373393635,16.366345604635182
17,market 17,,09:30,20:00,,48.21280826711149,16.380099468172233
18,market 18,,12:30,22:00,,48.15174250796083,16.45415753485281
19,market 19,,13:30,22:00,,48.25504132434771,16.292612046942878
