Iterations,Markets visited,runtimes,population_size
1.0,6.0,0.004034,50.0
1.0,6.0,0.004706,50.0
1.0,7.0,0.00489,50.0
1.0,6.0,0.005296,50.0
1.0,7.0,0.005069,50.0
1.0,6.0,0.005236,50.0
1.0,6.0,0.00633,50.0
1.0,6.0,0.004745,50.0
1.0,6.0,0.004848,50.0
1.0,6.0,0.004857,50.0
2.0,5.0,0.009729,50.0
2.0,6.0,0.008586,50.0
2.0,6.0,0.009141,50.0
2.0,6.0,0.008675,50.0
2.0,7.0,0.007087,50.0
2.0,6.0,0.009659,50.0
2.0,6.0,0.009797,50.0
2.0,6.0,0.010661,50.0
2.0,6.0,0.0106,50.0
2.0,6.0,0.01002,50.0
3.0,6.0,0.01559,50.0
3.0,6.0,0.015401,50.0
3.0,7.0,0.015087,50.0
3.0,6.0,0.011378,50.0
3.0,6.0,0.014696,50.0
3.0,6.0,0.015927,50.0
3.0,7.0,0.016044,50.0
3.0,6.0,0.014931,50.0
3.0,7.0,0.014708,50.0
3.0,6.0,0.014295,50.0
4.0,7.0,0.019284,50.0
4.0,6.0,0.019228,50.0
4.0,7.0,0.014956,50.0
4.0,6.0,0.020916,50.0
4.0,6.0,0.020381,50.0
4.0,7.0,0.020114,50.0
4.0,7.0,0.021569,50.0
4.0,6.0,0.021213,50.0
4.0,6.0,0.021348,50.0
4.0,6.0,0.020349,50.0
5.0,6.0,0.027739,50.0
5.0,7.0,0.025149,50.0
5.0,7.0,0.024662,50.0
5.0,6.0,0.027009,50.0
5.0,7.0,0.026822,50.0
5.0,6.0,0.026702,50.0
5.0,6.0,0.019009,50.0
5.0,7.0,0.026253,50.0
5.0,7.0,0.026355,50.0
5.0,7.0,0.026615,50.0
6.0,7.0,0.032912,50.0
6.0,7.0,0.031225,50.0
6.0,7.0,0.031398,50.0
6.0,7.0,0.02931,50.0
6.0,7.0,0.030236,50.0
6.0,7.0,0.030913,50.0
6.0,6.0,0.030232,50.0
6.0,7.0,0.029757,50.0
6.0,6.0,0.022664,50.0
6.0,7.0,0.029798,50.0
7.0,6.0,0.037739,50.0
7.0,7.0,0.038296,50.0
7.0,7.0,0.037834,50.0
7.0,7.0,0.038001,50.0
7.0,7.0,0.034186,50.0
7.0,7.0,0.037795,50.0
7.0,7.0,0.034645,50.0
